trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.99, 'e': 0.9588697805724845}",20,0,-22.099400077434915,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
43,False,"{'a': 0.99, 'e': 0.9579113900670306}",20,8,22.939471912346807,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.99, 'e': 0.9569539574730467}",20,7,-23.535219310651183,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.99, 'e': 0.9559974818331}",20,0,15.381041325766326,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.99, 'e': 0.9550419621907147}",25,14,3.919209420315261,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.99, 'e': 0.9540873975903711}",20,11,10.17413463836641,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.99, 'e': 0.9531337870775047}",20,0,0.4619530961889917,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
49,False,"{'a': 0.99, 'e': 0.9521811296985049}",20,0,15.212533147545777,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.99, 'e': 0.951229424500714}",25,0,31.527946556342947,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.99, 'e': 0.950278670532427}",25,0,17.94798451849552,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.99, 'e': 0.9493288668428895}",20,8,19.50354650522609,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.99, 'e': 0.9483800124822982}",20,0,-34.17645985766064,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.99, 'e': 0.9474321065017983}",20,0,27.40312426654229,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.99, 'e': 0.9464851479534838}",25,0,15.974167357555725,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.99, 'e': 0.9455391358903963}",25,7,30.74836622982691,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.99, 'e': 0.9445940693665233}",20,5,21.367907540097214,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.99, 'e': 0.9436499474367985}",35,18,27.56816744461137,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.99, 'e': 0.9427067691570997}",25,1,-5.815677769933245,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.99, 'e': 0.9417645335842487}",20,12,15.859023809152289,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.99, 'e': 0.9408232397760097}",20,9,23.963938841390267,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.99, 'e': 0.9398828867910889}",25,12,21.17529992624357,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.99, 'e': 0.9389434736891332}",20,5,22.965354372617533,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.99, 'e': 0.9380049995307295}",25,0,40.20069406153033,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.99, 'e': 0.9370674633774034}",25,6,26.152728948581228,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.99, 'e': 0.9361308642916188}",25,13,15.695887136717428,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.99, 'e': 0.9351952013367766}",25,0,-38.91224216352601,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
68,False,"{'a': 0.99, 'e': 0.9342604735772135}",30,8,-1.9595086468674605,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.99, 'e': 0.933326680078202}",20,7,-20.333149558540466,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.99, 'e': 0.9323938199059483}",25,0,-12.088295841535983,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.99, 'e': 0.9314618921275921}",20,13,9.682733792747664,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.99, 'e': 0.9305308958112057}",25,13,23.548621577966337,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.99, 'e': 0.9296008300257927}",25,13,-0.6314600500225702,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.99, 'e': 0.9286716938412872}",35,19,-11.989829778186065,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.99, 'e': 0.9277434863285529}",20,0,-85.58302777859997,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",1
76,False,"{'a': 0.99, 'e': 0.9268162065593822}",20,10,17.633122395213782,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.99, 'e': 0.9258898536064953}",20,0,15.54493004191489,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.99, 'e': 0.9249644265435393}",25,13,24.694666341729306,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.99, 'e': 0.9240399244450868}",20,0,33.67142033472891,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.99, 'e': 0.9231163463866358}",20,16,8.108448455541764,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.99, 'e': 0.922193691444608}",20,6,17.625279595301972,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.99, 'e': 0.9212719586963487}",30,19,18.66697829558414,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.99, 'e': 0.9203511472201247}",20,15,-1.2212213755030537,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.99, 'e': 0.9194312560951247}",35,21,-1.213107409038131,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.99, 'e': 0.9185122844014574}",20,0,26.321372763322984,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.99, 'e': 0.9175942312201509}",20,12,12.141848042045991,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.99, 'e': 0.9166770956331523}",25,14,19.128063427876544,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.99, 'e': 0.9157608767233256}",20,13,6.239040596914208,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.99, 'e': 0.914845573574452}",25,14,22.08824798035431,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.99, 'e': 0.9139311852712282}",25,13,20.004575067706348,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.99, 'e': 0.9130177108992658}",20,0,-86.91484911113068,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
92,False,"{'a': 0.99, 'e': 0.9121051495450904}",30,22,10.31150831312516,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.99, 'e': 0.9111935002961405}",20,5,-15.956027817414286,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.99, 'e': 0.910282762240767}",25,11,21.47801293542563,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.99, 'e': 0.9093729344682314}",20,16,7.326512188006635,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.99, 'e': 0.9084640160687062}",25,8,27.78929756078431,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.99, 'e': 0.9075560061332727}",30,24,14.146150947317892,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.99, 'e': 0.9066489037539209}",25,15,-24.20318996973588,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.99, 'e': 0.9057427080235485}",20,12,15.813709254460361,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.99, 'e': 0.9048374180359595}",25,15,4.971799081091171,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.99, 'e': 0.9039330328858641}",20,3,23.58992473421818,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.99, 'e': 0.9030295516688768}",20,3,16.810968942173982,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.99, 'e': 0.9021269734815165}",25,18,13.416925166505585,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.99, 'e': 0.9012252974212047}",30,16,26.632669032319185,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.99, 'e': 0.9003245225862656}",30,16,26.595195896154006,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.99, 'e': 0.899424648075924}",20,2,4.621662880476402,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
